Counter	Card Name	Type	Text	Action on Enter Stable	Beginning of Turn Action	Discard Action	In Stable Effect	Search Deck	Shuffle Deck	Shuffle Discard Into Deck	Scarifice	Return to Hand	Search Discard	Protection	Draw	Destroy	Requires Basic Unicorn	Action on Leave
1	A Cute Attack	Magic	Choose any player. Move up to 3 Unicorn cards from that player's Stable to the discard pile without triggering any of their effects, then bring the same number of Baby Unicorn cardsfrom the Nursery directly into that player's Stable.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
2	Angel Unicorn	Magic Unicorn	If this card is in your Stable at the beginning of your turn, you may SACRIFICE this card. If you do, choose a Unicorn card from the discard pile and bring it directly into your Stable.	FALSE	TRUE	None	FALSE	None	FALSE	FALSE	None	FALSE	(type: Unicorn)	None	0	None	FALSE	FALSE
3	Angry Dragoncorn	Magic Unicorn	When this card enters your Stable, each player must DISCARD a card.	TRUE	FALSE	Everyone	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
4	Annoying Flying Unicorn	Magic Unicorn	When this card enters your Stable, you may choose any player. That player must DISCARD a card. if this card is sacrificed or destroyed, return it to your hand.	TRUE	FALSE	Choice	FALSE	None	FALSE	FALSE	None	TRUE	None	None	0	None	FALSE	FALSE
5	Apprentice Unicorn	Basic Unicorn	Every Unicorn starts somewhere.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
6	Autoerotic Asphyxiation	Downgrade	If this card is in your Stable at the beginning of your turn, DISCARD a card.	FALSE	TRUE	You	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
7	Back Kick	Magic	Return a card in any player's Stable to that player's hand. That player must then DISCARD a card.	FALSE	FALSE	Them	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
8	Barbed Wire	Downgrade	As long as this card is in your Stable, you must DISCARD a card each time a Unicorn enters or leaves your Stable.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
9	Basic Unicorn	Basic Unicorn	#nomakeup #nofilter #sunnies #shameless #selfie #basic #TGIF #unicornhairdontcare	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
10	Basic Unicorn	Basic Unicorn	U+1F496        U+1F64C        U+1F485        U+1F64C        U+1F496        U+1F481 U+1F481 U+1F602 U+1F602 U+1F602	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
11	Basic Unicorn	Basic Unicorn	Popped collars are for date nights only.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
12	Basic Unicorn	Basic Unicorn	Vinyl records and mixtapes only.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
13	Basic Unicorn	Basic Unicorn	Beards are like, so hot.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
14	Basic Unicorn	Basic Unicorn	Dance like nobody's watching.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
15	Basic Unicorn	Basic Unicorn	Pumpkin spice is the pumpkin spice of life.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
16	Bear Daddy Unicorn	Magic Unicorn	When this card enters your Stable, you may search the deck for a "Twinkicorn" card. Add it to your hand, then shuffle the deck.	TRUE	FALSE	None	FALSE	(name: Twinkicorn)	TRUE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
17	Black Night Unicorn	Magic Unicorn	If one of your Unicorns would be destroyed, you may SACRIFICE this card instead.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
18	Blatant Thievery	Magic	Look at any player's hand. Take a card of your choice and add it to your hand.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
19	Blinding Light	Downgrade	As long as this card is in your Stable, your Unicorn card effects cannot be activated.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
20	Blow Up Unicorn	Upgrade	If one of your Unicorns would be sacrificed or destroyed, you may SACRIFICE this card instead.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
21	Chainsaw Unicorn	Magic Unicorn	When this card enters your Stable, you may SACRIFICE or DESTROY an Upgrade or Downgrade card.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
22	Classy Narwhal	Magic Unicorn	When this card enters your Stable, you may search the deck for an Upgrade card. Add it to your hand, then shuffle the deck.	TRUE	FALSE	None	FALSE	(type: Upgrade)	TRUE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
23	Cotton Candy Llamacorn	Magic Unicorn	When this card enters your Stable, each player must SACRIFICE a Unicorn card, then DRAW a card.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	Everyone: unicorn	FALSE	None	None	1 (everyone)	None	FALSE	FALSE
24	Cult Leader Unicorn	Magic Unicorn	When this card enters your Stable, each player must SACRIFICE a Unicorn.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	Everyone: unicorn	FALSE	None	None	0	None	FALSE	FALSE
25	Cupcakes for Everyone	Downgrade	All of your Upgrade cards affect each player's Stable	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
26	Dirty Mind	Magic	Search the deck for a NSFW card. Add it to your hand, then shuffle the deck.	FALSE	FALSE	None	FALSE	(deck: NSFW)	TRUE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
27	Dominatrix Whip	Upgrade	If this card is in your Stable at the beginning of your turn, you may move a Unicorn from any player's Stable to another player's Stable. You cannot move the Unicorn into your own Stable.	FALSE	TRUE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
28	Dragon Kiss	Magic	Search the deck for a Magic card. Play it immediately, then shuffle the deck.	FALSE	FALSE	None	FALSE	(type: Magic)	TRUE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
29	Dragon Protection	Upgrade	As long as this card is in your stable, your Unicorns cannot be destroyed or affected by any other player's Unicorn card effects.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	(type: Unicorn)	0	None	FALSE	FALSE
30	Dragon Slayer Unicorn	Magic Unicorn	As long as this card is in your Stable, your Unicorns cannot be destroyed or affected by any card with "Dragon" in its name.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	(name: Dragon)	0	None	FALSE	FALSE
31	Dragon Tamer Unicorn	Magic Unicorn	When this card enters your Stable, you may search the deck for a card with "Dragon" in its name. Add it to your hand, then shuffle the deck.	TRUE	FALSE	None	FALSE	(name: Dragon)	TRUE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
32	Dragon Turtle Unicorn	Magic Unicorn	When this card enters your Stable, DRAW a card.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	1	None	FALSE	FALSE
33	Dragon's Blessing	Upgrade	As long as this card is in your Stable, Downgrades in your Stable have no effect.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
34	Dragon's Breath	Magic	DESTROY a Unicorn.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	Choice	FALSE	FALSE
